KIC|numax|E_numax|e_numax|<dnu>|E_<dnu>|e_<dnu>|Teff|e_Teff|[Fe/H]|e_[Fe/H]|Ref|PapI|KCat|Simbad|_RA|_DE
 1435467|1406.7| 6.3| 8.4| 70.369| 0.034| 0.033|6326| 77| 0.01| 0.10|1|PapI|KCat|Simbad|292.08265|+37.05982
 2837475|1557.6| 8.2| 9.2| 75.729| 0.041| 0.042|6614| 77| 0.01| 0.10|1|PapI|KCat|Simbad|287.54849|+38.08218
 3427720|2737.0|10.7|17.7|120.068| 0.031| 0.032|6045| 77|-0.06| 0.10|1|PapI|KCat|Simbad|286.43859|+38.52293
 3456181| 970.0| 8.3| 5.9| 52.264| 0.041| 0.039|6384| 77|-0.15| 0.10|1|PapI|KCat|Simbad|294.54449|+38.51685
 3632418|1166.8| 3.0| 3.8| 60.704| 0.019| 0.018|6193| 77|-0.12| 0.10|1|PapI|KCat|Simbad|287.36181|+38.71402
 3656476|1925.0| 7.0| 6.3| 93.194| 0.018| 0.020|5668| 77| 0.25| 0.10|1|PapI|KCat|Simbad|294.20339|+38.71577
 3735871|2862.6|16.6|26.5|123.049| 0.047| 0.046|6107| 77|-0.04| 0.10|1|PapI|KCat|Simbad|288.06928|+38.81767
 4914923|1817.0| 6.3| 5.2| 88.531| 0.019| 0.019|5805| 77| 0.08| 0.10|1|PapI|KCat|Simbad|289.14543|+40.04732
 5184732|2089.3| 4.4| 4.1| 95.545| 0.024| 0.023|5846| 77| 0.36| 0.10|1|PapI|KCat|Simbad|291.12645|+40.32324
 5773345|1101.2| 5.7| 6.6| 57.303| 0.030| 0.027|6130| 84| 0.21| 0.09|6|PapI|KCat|Simbad|285.43770|+41.08058
 5950854|1926.7|21.9|20.4| 96.629| 0.102| 0.107|5853| 77|-0.23| 0.10|1|PapI|KCat|Simbad|288.78366|+41.29877
 6106415|2248.6| 4.6| 3.9|104.074| 0.023| 0.026|6037| 77|-0.04| 0.10|1|PapI|KCat|Simbad|285.41533|+41.49009
 6116048|2126.9| 5.5| 5.0|100.754| 0.017| 0.017|6033| 77|-0.23| 0.10|1|PapI|KCat|Simbad|289.44315|+41.41023
 6225718|2364.2| 4.9| 4.6|105.695| 0.018| 0.017|6313| 76|-0.07| 0.10|1|PapI|KCat|Simbad|297.32558|+41.58246
 6508366| 958.3| 4.6| 3.6| 51.553| 0.046| 0.047|6331| 77|-0.05| 0.10|1|PapI|KCat|Simbad|286.93163|+41.93771
 6603624|2384.0| 5.4| 5.6|110.128| 0.012| 0.012|5674| 77| 0.28| 0.10|1|PapI|KCat|Simbad|291.04664|+42.05270
 6679371| 941.8| 5.1| 5.0| 50.601| 0.029| 0.029|6479| 77| 0.01| 0.10|1|PapI|KCat|Simbad|287.97284|+42.10771
 6933899|1389.9| 3.9| 3.6| 72.135| 0.018| 0.018|5832| 77|-0.01| 0.10|1|PapI|KCat|Simbad|286.74305|+42.43561
 7103006|1167.9| 7.2| 6.9| 59.658| 0.029| 0.030|6344| 77| 0.02| 0.10|1|PapI|KCat|Simbad|286.73311|+42.67204
 7106245|2397.9|24.0|28.7|111.376| 0.063| 0.061|6068|102|-0.99| 0.19|4|PapI|KCat|Simbad|288.00934|+42.67186
 7206837|1652.5|10.6|11.7| 79.131| 0.037| 0.039|6305| 77| 0.10| 0.10|1|PapI|KCat|Simbad|293.76557|+42.73798
 7296438|1847.8| 8.5|12.6| 88.698| 0.040| 0.036|5775| 77| 0.19| 0.10|1|PapI|KCat|Simbad|295.87230|+42.88113
 7510397|1189.1| 3.4| 4.4| 62.249| 0.020| 0.020|6171| 77|-0.21| 0.10|1|PapI|KCat|Simbad|285.66422|+43.11748
 7680114|1709.1| 7.1| 6.5| 85.145| 0.039| 0.043|5811| 77| 0.05| 0.10|1|PapI|KCat|Simbad|290.98505|+43.31459
 7771282|1465.1|27.0|18.7| 72.463| 0.069| 0.079|6248| 77|-0.02| 0.10|1|PapI|KCat|Simbad|297.37023|+43.42957
 7871531|3455.9|19.3|26.5|151.329| 0.025| 0.023|5501| 77|-0.26| 0.10|1|PapI|KCat|Simbad|282.91500|+43.63602
 7940546|1116.6| 3.3| 3.6| 58.762| 0.029| 0.029|6235| 77|-0.20| 0.10|1|PapI|KCat|Simbad|283.06875|+43.70991
 7970740|4197.4|21.2|18.4|173.541| 0.060| 0.068|5309| 77|-0.54| 0.10|1|PapI|KCat|Simbad|295.44019|+43.74770
 8006161|3574.7|11.4|10.5|149.427| 0.015| 0.014|5488| 77| 0.34| 0.10|1|PapI|KCat|Simbad|281.14633|+43.83327
 8150065|1876.9|38.1|32.4| 89.264| 0.134| 0.121|6173|101|-0.13| 0.15|4|PapI|KCat|Simbad|285.02891|+44.02918
 8179536|2074.9|13.8|12.0| 95.090| 0.058| 0.054|6343| 77|-0.03| 0.10|1|PapI|KCat|Simbad|296.34985|+44.07663
 8228742|1190.5| 3.4| 3.7| 62.071| 0.022| 0.021|6122| 77|-0.08| 0.10|1|PapI|KCat|Simbad|290.19975|+44.15521
 8379927|2795.3| 6.0| 5.7|120.288| 0.017| 0.018|6067|120|-0.10| 0.15|2|PapI|KCat|Simbad|296.67218|+44.34853
 8394589|2396.7|10.5| 9.4|109.488| 0.034| 0.035|6143| 77|-0.29| 0.10|1|PapI|KCat|Simbad|300.46427|+44.35393
 8424992|2533.7|27.0|28.1|120.584| 0.062| 0.064|5719| 77|-0.12| 0.10|1|PapI|KCat|Simbad|289.63836|+44.40452
 8694723|1470.5| 3.7| 4.1| 75.112| 0.019| 0.021|6246| 77|-0.42| 0.10|1|PapI|KCat|Simbad|293.96072|+44.88056
 8760414|2455.3| 9.1| 8.3|117.230| 0.022| 0.018|5873| 77|-0.92| 0.10|1|PapI|KCat|Simbad|294.47719|+44.98462
 8938364|1675.1| 5.2| 5.8| 85.684| 0.018| 0.020|5677| 77|-0.13| 0.10|1|PapI|KCat|Simbad|285.54124|+45.27760
 9025370|2988.6|20.0|16.9|132.628| 0.030| 0.024|5270|180|-0.12| 0.18|3|PapI|KCat|Simbad|293.06081|+45.31064
 9098294|2314.7| 9.2|10.4|108.894| 0.023| 0.022|5852| 77|-0.18| 0.10|1|PapI|KCat|Simbad|295.08838|+45.48916
 9139151|2690.4|14.5| 9.0|117.294| 0.031| 0.032|6302| 77| 0.10| 0.10|1|PapI|KCat|Simbad|284.08860|+45.51479
 9139163|1729.8| 6.2| 5.9| 81.170| 0.042| 0.036|6400| 84| 0.15| 0.09|6|PapI|KCat|Simbad|284.09219|+45.50704
 9206432|1866.4|10.3|14.9| 84.926| 0.046| 0.051|6538| 77| 0.16| 0.10|1|PapI|KCat|Simbad|285.93806|+45.60839
 9353712| 934.3|11.1| 8.3| 51.467| 0.091| 0.104|6278| 77|-0.05| 0.10|1|PapI|KCat|Simbad|296.04453|+45.88920
 9410862|2278.8|31.2|16.6|107.390| 0.050| 0.053|6047| 77|-0.31| 0.10|1|PapI|KCat|Simbad|294.48623|+45.96452
 9414417|1155.3| 6.1| 4.6| 60.115| 0.024| 0.024|6253| 75|-0.13| 0.10|7|PapI|KCat|Simbad|295.80273|+45.98808
 9812850|1255.2| 9.1| 7.0| 64.746| 0.067| 0.068|6321| 77|-0.07| 0.10|1|PapI|KCat|Simbad|281.91353|+46.68610
 9955598|3616.8|21.2|29.6|153.283| 0.029| 0.032|5457| 77| 0.05| 0.10|1|PapI|KCat|Simbad|293.67917|+46.85276
 9965715|2079.3| 9.2|10.4| 97.236| 0.041| 0.042|5860|180|-0.44| 0.18|3|PapI|KCat|Simbad|297.33325|+46.82667
10068307| 995.1| 2.8| 2.7| 53.945| 0.019| 0.020|6132| 77|-0.23| 0.10|1|PapI|KCat|Simbad|288.97786|+47.06118
10079226|2653.0|47.7|44.3|116.345| 0.059| 0.052|5949| 77| 0.11| 0.10|1|PapI|KCat|Simbad|293.46990|+47.04570
10162436|1052.0| 4.0| 4.2| 55.725| 0.035| 0.039|6146| 77|-0.16| 0.10|1|PapI|KCat|Simbad|298.72575|+47.14526
10454113|2357.2| 8.2| 9.1|105.063| 0.031| 0.033|6177| 77|-0.07| 0.10|1|PapI|KCat|Simbad|284.15268|+47.65641
10516096|1689.8| 4.6| 5.8| 84.424| 0.022| 0.025|5964| 77|-0.11| 0.10|1|PapI|KCat|Simbad|282.39025|+47.71100
10644253|2899.7|21.3|22.8|123.080| 0.056| 0.055|6045| 77| 0.06| 0.10|1|PapI|KCat|Simbad|280.92676|+47.93778
10730618|1282.1|14.6|12.7| 66.333| 0.061| 0.064|6150|180|-0.11| 0.18|3|PapI|KCat|Simbad|291.62705|+48.09302
10963065|2203.7| 6.7| 6.3|103.179| 0.027| 0.027|6140| 77|-0.19| 0.10|1|PapI|KCat|Simbad|284.78618|+48.42322
11081729|1968.3|11.0|12.6| 90.116| 0.048| 0.047|6548| 82| 0.11| 0.10|1|PapI|KCat|Simbad|290.58428|+48.69542
11253226|1590.6|10.6| 6.8| 76.858| 0.026| 0.030|6642| 77|-0.08| 0.10|1|PapI|KCat|Simbad|295.91509|+48.92884
11772920|3674.7|55.1|36.1|157.746| 0.032| 0.033|5180|180|-0.09| 0.18|3|PapI|KCat|Simbad|296.44152|+49.98857
12009504|1865.6| 7.7| 6.2| 88.217| 0.026| 0.025|6179| 77|-0.08| 0.10|1|PapI|KCat|Simbad|289.44083|+50.48008
12069127| 884.7|10.1| 8.0| 48.400| 0.048| 0.048|6276| 77| 0.08| 0.10|1|PapI|KCat|Simbad|295.30330|+50.56520
12069424|2188.5| 4.6| 3.0|103.277| 0.021| 0.020|5825| 50| 0.10| 0.03|5|PapI|KCat|Simbad|295.45397|+50.52506
12069449|2561.3| 5.0| 5.6|116.929| 0.012| 0.013|5750| 50| 0.05| 0.02|5|PapI|KCat|Simbad|295.46655|+50.51752
12258514|1512.7| 3.3| 2.9| 74.799| 0.016| 0.015|5964| 77| 0.00| 0.10|1|PapI|KCat|Simbad|291.59204|+50.98731
12317678|1212.4| 5.5| 4.9| 63.464| 0.025| 0.024|6580| 77|-0.28| 0.10|1|PapI|KCat|Simbad|296.65726|+51.02042

